word,frequency
co,2043
amp,1974
https,1589
tesla,1090
yes,581
good,495
like,415
http,411
model,406
great,399
would,385
car,337
much,333
one,310
time,303
high,296
next,295
also,270
year,265
people,264
true,257
rocket,256
yeah,255
make,255
soon,251
spacex,243
sure,241
cars,238
probably,237
need,235
new,233
production,227
first,227
right,225
get,224
even,221
work,217
better,217
thanks,215
launch,214
many,208
exactly,208
coming,203
us,201
team,198
way,196
actually,195
falcon,193
x,192
maybe,190
mars,185
starship,185
years,181
haha,178
long,174
v,172
lot,170
still,167
best,164
really,162
think,162
could,158
test,157
love,157
super,155
almost,153
k,153
hard,152
point,151
going,149
engine,149
week,148
go,146
software,144
landing,143
use,142
back,139
space,138
ok,138
well,135
needed,135
dragon,134
flight,133
earth,133
w,130
know,129
design,129
real,128
full,128
day,127
working,127
autopilot,126
solar,124
cool,123
future,122
power,121
big,121
done,119
months,118
owners,117
heavy,116
pretty,115
want,113
hopefully,110
see,110
cost,109
world,109
made,108
system,108
less,105
orbit,105
company,105
air,104
far,104
life,103
driving,103
important,103
definitely,102
energy,102
sn,101
take,101
days,100
electric,99
drive,99
last,99
already,99
end,98
today,98
something,98
c,97
problem,97
little,97
speed,97
low,97
change,96
small,96
every,96
engines,95
around,95
boring,94
looks,93
f,93
ai,93
ever,93
thrust,93
enough,93
makes,92
mass,92
video,92
may,92
version,91
two,90
raptor,89
pressure,89
needs,88
always,87
might,87
later,86
please,85
due,83
self,83
engineering,83
fun,83
part,82
times,82
battery,82
support,82
several,82
things,81
month,81
ship,81
safety,81
level,81
said,81
amazing,81
sounds,80
range,80
money,79
build,79
vs,79
possible,79
early,78
public,78
never,77
max,77
fsd,76
say,76
using,76
article,75
weeks,75
fast,75
release,75
r,74
per,74
making,74
china,74
worth,74
gas,74
help,74
la,73
tunnel,73
order,73
free,73
service,73
awesome,73
sorry,72
control,72
major,72
higher,72
water,72
moon,71
used,71
b,71
vehicle,70
anything,70
factory,70
booster,70
fire,69
short,69
ago,69
start,69
must,68
getting,68
thing,68
side,68
without,68
likely,68
wow,67
q,67
companies,67
tomorrow,67
n,66
look,66
looking,66
delayslater,65
stage,65
h,65
hope,65
though,64
got,64
update,64
nothing,64
yet,64
extremely,63
rate,63
term,63
try,63
center,62
building,62
sense,62
orbital,62
mins,62
fully,62
product,61
zero,61
mission,61
least,61
miles,60
lower,60
land,60
p,60
body,60
km,59
bad,59
night,59
close,59
propellant,59
called,59
top,59
via,59
half,58
especially,58
u,58
idea,58
performance,58
stop,57
goes,57
false,57
add,57
texas,57
anyone,57
seems,57
media,57
mostly,57
def,56
testing,56
come,56
hours,56
imo,56
rear,56
welcome,56
btw,55
california,55
live,55
twitter,55
clear,55
interesting,55
